t,S,I,R
1.0000000000000007,0.9888313976797655,0.010676589209865096,0.000492013110370046
1.0100000000000007,0.9888193283437777,0.01068357399611614,0.0004970976601067746
1.0200000000000007,0.9888072512594556,0.010690563204364852,0.0005021855361802376
1.0300000000000007,0.9887951664220881,0.010697556837216324,0.0005072767406962358
1.0400000000000007,0.988783073826962,0.010704554897276926,0.0005123712757618104
1.0500000000000007,0.9887709734693612,0.010711557387154302,0.0005174691434852439
1.0600000000000007,0.9887588653445673,0.010718564309457376,0.0005225703459760604
1.0700000000000007,0.9887467494478593,0.010725575666796352,0.0005276748853450262
1.0800000000000007,0.9887346257745139,0.01073259146178271,0.0005327827637041508
1.0900000000000007,0.9887224943198049,0.01073961169702921,0.0005378939831666867
1.1000000000000008,0.9887103550790037,0.010746636375149889,0.0005430085458471312
1.1100000000000008,0.9886982080473795,0.010753665498760064,0.0005481264538612256
1.1200000000000008,0.9886860532201985,0.010760699070476332,0.0005532477093259573
1.1300000000000008,0.9886738905927247,0.01076773709291657,0.0005583723143595591
1.1400000000000008,0.9886617201602194,0.010774779568699934,0.0005635002710815106
1.1500000000000008,0.9886495419179414,0.010781826500446862,0.0005686315816125386
1.1600000000000008,0.9886373558611471,0.01078887789077907,0.0005737662480746176
1.1700000000000008,0.9886251619850902,0.010795933742319557,0.0005789042725909705
1.1800000000000008,0.9886129602850221,0.010802994057692602,0.0005840456572860693
1.1900000000000008,0.9886007507561914,0.010810058839523766,0.0005891904042856353
1.2000000000000008,0.9885885333938442,0.01081712809043989,0.0005943385157166405
1.2100000000000009,0.9885763081932244,0.010824201813069098,0.0005994899937073074
1.2200000000000009,0.9885640751495729,0.010831280010040798,0.0006046448403871102
1.2300000000000009,0.9885518342581283,0.010838362683985678,0.0006098030578867747
1.2400000000000009,0.9885395855141268,0.010845449837535708,0.0006149646483382798
1.2500000000000009,0.9885273289128018,0.010852541473324142,0.0006201296138748576
1.260000000000001,0.9885150644493843,0.01085963759398552,0.000625297956630994
1.270000000000001,0.9885027921191027,0.010866738202155661,0.0006304696787424293
1.280000000000001,0.988490511917183,0.01087384330047167,0.0006356447823461592
1.290000000000001,0.9884782238388484,0.010880952891571935,0.0006408232695804349
1.300000000000001,0.9884659278793199,0.01088806697809613,0.0006460051425847639
1.310000000000001,0.9884536240338156,0.010895185562685213,0.0006511904034999108
1.320000000000001,0.9884413122975515,0.010902308647981423,0.0006563790544678978
1.330000000000001,0.9884289926657406,0.01090943623662829,0.0006615710976320048
1.340000000000001,0.9884166651335935,0.010916568331270625,0.0006667665351367711
1.350000000000001,0.9884043296963184,0.010923704934554527,0.0006719653691279952
1.360000000000001,0.9883919863491208,0.01093084604912738,0.0006771676017527352
1.370000000000001,0.9883796350872038,0.010937991677637853,0.0006823732351593104
1.380000000000001,0.9883672759057678,0.010945141822735904,0.0006875822714973009
1.390000000000001,0.9883549088000106,0.010952296487072773,0.0006927947129175489
1.400000000000001,0.9883425337651278,0.010959455673300991,0.0006980105615721589
1.410000000000001,0.9883301507963121,0.010966619384074377,0.0007032298196144984
1.420000000000001,0.9883177598887538,0.010973787622048032,0.0007084524891991989
1.430000000000001,0.9883053610376406,0.01098096038987835,0.0007136785724821558
1.440000000000001,0.9882929542381576,0.01098813769022301,0.0007189080716205297
1.450000000000001,0.9882805394854873,0.010995319525740978,0.0007241409887727465
1.460000000000001,0.9882681167748101,0.011002505899092511,0.0007293773260984984
1.470000000000001,0.9882556861013032,0.011009696812939156,0.0007346170857587442
1.480000000000001,0.9882432474601417,0.011016892269943745,0.0007398602699157102
1.490000000000001,0.9882308008464978,0.0110240922727704,0.0007451068807328904
1.500000000000001,0.9882183462555415,0.011031296824084533,0.0007503569203750478
1.5100000000000011,0.98820588368244,0.011038505926552847,0.0007556103910082142
1.5200000000000011,0.9881934131223581,0.011045719582843333,0.0007608672947996914
1.5300000000000011,0.9881809345704577,0.011052937795625273,0.0007661276339180516
1.5400000000000011,0.9881684480218987,0.011060160567569238,0.0007713914105331382
1.5500000000000012,0.9881559534718379,0.011067387901347092,0.0007766586268160659
1.5600000000000012,0.9881434509154299,0.011074619799631988,0.000781929284939222
1.5700000000000012,0.9881309403478264,0.011081856265098371,0.0007872033870762663
1.5800000000000012,0.988118421764177,0.011089097300421978,0.0007924809354021326
1.5900000000000012,0.9881058951596282,0.011096342908279837,0.0007977619320930285
1.6000000000000012,0.9880933605293244,0.011103593091350266,0.0008030463793264363
1.6100000000000012,0.9880808178684071,0.011110847852312878,0.0008083342792811138
1.6200000000000012,0.9880682671720153,0.011118107193848576,0.0008136256341370946
1.6300000000000012,0.9880557084352858,0.011125371118639558,0.000818920446075689
1.6400000000000012,0.9880431416533523,0.011132639629369313,0.0008242187172794843
1.6500000000000012,0.9880305668213462,0.011139912728722622,0.000829520449932346
1.6600000000000013,0.9880179839343961,0.011147190419385564,0.0008348256462194176
1.6700000000000013,0.9880053929876285,0.011154472704045506,0.0008401343083271217
1.6800000000000013,0.9879927939761668,0.011161759585391113,0.0008454464384431608
1.6900000000000013,0.9879801868951322,0.01116905106611234,0.0008507620387565174
1.7000000000000013,0.9879675717396432,0.011176347148900442,0.0008560811114574551
1.7100000000000013,0.9879549485048157,0.011183647836447963,0.0008614036587375187
1.7200000000000013,0.9879423171857629,0.011190953131448743,0.0008667296827895354
